No,Name ID,Ads ID,ID,Race,R,PP Number,LB,LA,CC No,Sps Name,Children,C Name,C Address, Status,HP /Month
24,Lee Fen Yuan,"7821 Jalan Taman Bahagia, Taiping, Perak 34000",831011-04-1638,Chinese,Taoism,A33712116,19707.66,27961.19,5400079607487500,Liew Ming Yan,Low Xiang Ting,Global Perkasa Enterprise,"5947 Jalan Lapangan Terbang, Teluk Intan, Perak 36000",Pending,1499.97
25,Liew Qing Fen,"7252 Jalan Pasir Puteh, Bagan Serai, Perak 34300",750324-29-3820,Chinese,Nil,H06736213,11041.21,23557.68,5239457009929773,Koh Zhi Bo,Yap Fang Ting,Global Prima Berhad,"6183 Jalan Hospital, Taiping, Perak 34000",Approved,827.26
26,Sim Ying Qing,"1032 Jalan Dato Sagor, Sitiawan, Perak 32000",740408-01-8948,Chinese,Christianity,K40178707,53666.73,59678.84,4460312723294876,Liew Ming Yuan,Sim Ling Ling,Global Prima Enterprise,"89 Jalan Bukit Bintang, Seremban",Approved,737.01
27,Low Xiang Ting,"303 Jalan Kuala Kangsar, Batu Gajah, Perak ",511122-31-8375,Chinese,Buddhism,A99739110,64880.41,69408.89,4460315444441668,Lim Qing Wei,Low Li Kai,Global Putih Sdn Bhd,"562 Jalan Dato Sagor, Pantai Remis, Perak 34900",Pending,2530.36
28,Yap Fang Ting,"57 Jalan Lapangan Terbang, Teluk Intan, 36000",980729-32-4854,Chinese,Taoism,K89347149,13953.54,26011.65,4123457211204108,Foo Li Bo,Chong Xiang Bo,Global Sejahtera Group,"8688 Jalan Pasir Puteh, Bagan Serai, Perak 34300",Approved,2703.03
29,Sim Ling Ling,"57220 Thomas Walk, West Loriburgh, SC 44206",011115-06-2269,Chinese,Taoism,K39735918,46851.42,51777.08,4506181801761601,Lim Jun Ying,Chin Mei Yuan,Global Sentosa Group,"218 Jalan Taman Bahagia, Sungai Siput, Perak 31100",Pending,645.47
30,Oliver Hensley,"0651 Olivia Crossing, West Robertoland, AZ 26275",651113-09-8173,Chinese,Buddhism,H54818631,56181.43,69395.59,5419714582693529,Chew Kai Fen,Goh Li Ming,Industri Gemilang Enterprise,"3203 Jalan Kuala Kangsar, Batu Gajah, Perak 31000",Rejected,1004.89
31,Amelia Cartwright,"6317 Fisher Fall Apt. 363, Port Michaelmouth, SD 92321",991203-34-8898,Foreigner,Islam,K22161875,32547.12,38111.46,4842814908501875,Hana binti Latif,Sumbang anak Bujang,CodeNest Labs,"45 Swanston Street, Melbourne VIC 3000",Rejected,857.43
32,Henry Blackwell,"784 Medina Field Apt. 198, East Brian, VI 22616",660514-04-3196,Foreigner,Islam,K68723637,60562.68,63371.08,5520138861719175,Syafiq bin Fikri,Uding anak Uding,Syntrix Systems,"88 Adelaide Terrace, East Perth WA 6004",Pending,2692.58
33,Charlotte Winslow,"4517 Jalan Lapangan Terbang, Tapah, Perak 35000",960716-35-9488,Foreigner,Islam,K20578056,17904.13,32225.68,5523335531704176,Aiman bin Shahrul,Hakim bin Syafiq,BitNova Technologies,"7 Queen Street, Brisbane QLD 4000",Rejected,1028.75
34,Thomas Radcliffe,"1711 Jalan Sultan Idris Shah, Tapah, Perak 35000",611111-13-4404,Foreigner,Islam,K64818067,45227.7,57386.73,4966235484918079,Zain bin Saiful,Wani binti Aiman,Cloudspire Innovations,"23 North Terrace, Adelaide SA 5000",Approved,796.89
35,Emily Fairchild,"House 7, Blackrock Road",700503-26-3924,Foreigner,Islam,H87890363,36026.36,40595.27,5419711871061111,Izzati binti Saiful,Faiz bin Azlan,Nexbyte Software,"16 Franklin Street, Hobart TAS 7000",Approved,2270.62
36,George Whitaker,"45 Jalan Tun Razak, Johor Bahru",940221-38-7994,Foreigner,Islam,A33712116,73400.27,86252.45,4966239124613207,Raihana binti Shahrul,Rajesh Subramaniam,16. Quantumix AI,"101 Stuart Highway, Darwin NT 0800",Rejected,1505.27
37,Sophie Langford,"89 Jalan Bukit Bintang, Seremban",501203-27-1710,Foreigner,Islam,H06736213,9732.68,20888.41,5400078711527375,Zulaikha binti Zain,Sumbang anak Bujang,Cybrix Networks,"Lot 22, Jalan Setia Raja, Taman Supreme, 93100 Kuching, Sarawak, Malaysia",Pending,1950.99
38,James Ashbury,"562 Jalan Dato Sagor, Pantai Remis, Perak 34900",550428-36-1139,Foreigner,Islam,K40178707,36981.76,45365.63,5400071412292175,Khadijah binti Hafiz,Uding anak Uding,Trendora Apparel,"No. 5, Lorong 2, Jalan Airport, 98000 Miri, Sarawak, Malaysia",Approved,2495
39,Grace Pennington,"8688 Jalan Pasir Puteh, Bagan Serai, Perak 34300",050514-05-2834,Foreigner,Islam,A55424955,39316.72,53962.97,4921385002526153,Syafiq bin Faiz,Hakim bin Syafiq,VibeHaus,"Lot 17, Jalan Kampung Datu, 96000 Sibu, Sarawak, Malaysia",Pending,875.78
40,William Harwood,"218 Jalan Taman Bahagia, Sungai Siput, Perak 31100",010331-17-9055,Foreigner,Islam,A59242403,30681.06,43234.52,5223456157446257,Hilmi bin Shahrul,Wani binti Aiman,Purely Pantry,"No. 33, Jalan Matang Jaya, 93050 Kuching, Sarawak, Malaysia",Rejected,857.43
41,Lily Redgrave,"3203 Jalan Kuala Kangsar, Batu Gajah, Perak 31000",041015-36-3057,Foreigner,Islam,H83328874,40079.94,44584.54,4921381667891586,Zulkifli bin Faiz,Faiz bin Azlan,Chicora Goods,"Lot 88, Jalan Pujut 7, 98000 Miri, Sarawak, Malaysia",Rejected,2692.58
42,Edward Thorne,"5947 Jalan Lapangan Terbang, Teluk Intan, Perak 36000",660925-36-0848,Foreigner,Islam,H36308574,71783.15,91736.21,5400079607487500,Maisarah binti Nizam,Rajesh Subramaniam,StyleMint Collective,"No. 19, Jalan Oya Lama, 96000 Sibu, Sarawak, Malaysia",Pending,1028.75
43,Isla Montague,"6183 Jalan Hospital, Taiping, Perak 34000",590323-05-2138,Foreigner,Islam,H74808634,62420.95,63707.11,4966237946926062,Latif bin Zulkifli,,NovaCart Retail,"No. 91, Jalan Tun Razak, 50450",Approved,796.89
44,Arthur Beckett,"735 Taman Sentosa, Parit Buntar, Perak 34200",900917-17-1640,Foreigner,Islam,H21243915,37705.54,54661.05,5523334241404912,Farhan bin Irfan,Sumbang anak Bujang,PortEdge Shipping,"No. 46, Jalan Tun Razak, 50450",Pending,2270.62
45,Florence Aldridge,"4600 Jalan Kampar, Tanjung Malim, Perak 35900",941019-03-5334,Foreigner,Islam,K05303641,7667.85,15706.39,4123454725599818,Wani binti Faiz,Uding anak Uding,Haulix Solutions,"No. 93, Jalan Bukit Bintang",Approved,1505.27
46,Samuel Wycliffe,"5135 Jalan Sultan Idris Shah, Parit Buntar, Perak 34200",790525-28-6994,Foreigner,Islam,A55424955,19707.66,27961.19,4460318464046896,Diyana binti Faiz,Hakim bin Syafiq,RouteWise,"No. 33, Jalan Ampang",Approved,1950.99
47,Clara Ellington,"4517 Jalan Lapangan Terbang, Tapah, Perak 35000",530129-18-9799,Foreigner,Islam,A59242403,11041.21,23557.68,4966235001327663,Latif bin Faiz,Wani binti Aiman,JetPath Logistics,"No. 56, Jalan Pudu, 47310",Pending,2495
48,Benjamin Hargrove,"1711 Jalan Sultan Idris Shah, Tapah, Perak 35000",830827-07-7470,Foreigner,,H83328874,53666.73,59678.84,5417262952909788,Balqis binti Azlan,Faiz bin Azlan,OmniHaul,"No. 27, Jalan Pudu, 47301",Approved,875.78
49,Alice Fenwick,"312 Jalan Lapangan Terbang, Sitiawan, Perak 32000",521210-26-9327,Malay,Islam,H36308574,64880.41,69408.89,5521152944848330,Azlan bin Rizal,Rajesh Subramaniam,WealthNova,"No. 66, Jalan Ipoh",Rejected,2863.71
50,Maisarah binti Hilmi,"7821 Jalan Taman Bahagia, Taiping, Perak 34000",690227-36-0598,Malay,Islam,H74808634,13953.54,26011.65,5400672382407972,Zain bin Irfan,,RiskWise Insurance,"No. 75, Jalan Telawi, 11600",Rejected,2852.33
51,Hafiz bin Hakim,"57220 Thomas Walk, West Loriburgh, SC 44206",991203-34-8898,Malay,Islam,H21243915,46851.42,51777.08,5521158081443587,Wani binti Latif,,Paylance,"No. 68, Jalan Telawi, 11600",Approved,1792.78
52,Liyana binti Azlan,"45 Jalan Tun Razak, Johor Bahru",660514-04-3196,Malay,Islam,K05303641,32547.12,38111.46,5417264317402723,Balqis binti Hafiz,,Trustoria,"No. 8, Jalan Kuching, 47110",Pending,2627.86
53,Nizam bin Azlan,"538 Jalan Gurney, Butterworth",960716-35-9488,Malay,Islam,A55424955,60562.68,63371.08,5417269963293722,Khadijah binti Azlan,,EquityNest,"No. 24, Jalan Pudu Jaya, 14000",Approved,2905.92
54,Hafiz bin Zulkifli,"8 Jalan Gurney 2, Penang",940221-38-7994,Malay,Islam,A59242403,17904.13,32225.68,4966237946926062,Farah binti Azlan,,Fundora Partners,"No. 59, Jalan Ipoh",Approved,652.5
55,Janting anak Sumping,"8239 Jalan Bukit Bintang, Seremban, Negeri Sembilan",501203-27-1710,Sabah,Christianity,H83328874,45227.7,57386.73,5523334241404912,Fikri bin Zain,,,"5947 Jalan Lapangan Terbang, Teluk Intan, Perak 36000",Rejected,2612.75
56,Lawan anak Laja,"6 Jalan Sultan Ismail, Shah Alam, Selangor",550428-36-1139,Sabahan,Christianity,H36308574,36026.36,40595.27,4123454725599818,Faiz bin Shahrul,,,"6183 Jalan Hospital, Taiping, Perak 34000",Pending,2692.58
57,Ramba anak Laja,"66305 Potts Ville, South Patriciachester, TX 34140",050514-05-2834,Sarawakian,Christianity,G12345678,73400.27,86252.45,4460318464046896,Faiz bin Roslan,Sumbang anak Bujang,,"735 Taman Sentosa, Parit Buntar, Perak 34200",Rejected,1028.75
58,Uding anak Lawan,"35677 Smith Heights Suite 055, Port Eric, SC 87106",010331-17-9055,Sarawakian,Christianity,L98765432,9732.68,20888.41,4966235001327663,Siti binti Fikri,Uding anak Uding,,"4600 Jalan Kampar, Tanjung Malim, Perak 35900",Approved,796.89
59,Bulan anak Jawan,"872 Nancy Creek, Bruceland, AR 47818",041015-36-3057,Sarawakian,Christianity,X56473829,36981.76,45365.63,5417262952909788,Yasmin binti Zulkifli,Hakim bin Syafiq,,"5135 Jalan Sultan Idris Shah, Parit Buntar, Perak 34200",Approved,2270.62
60,Ramba anak Sumping,"6408 Nolan Motorway, Lake Elizabethport, KY 84339",660925-36-0848,Bidayuh,Christianity,B02468135,39316.72,53962.97,5521152944848330,Fikri bin Roslan,Wani binti Aiman,,"4517 Jalan Lapangan Terbang, Tapah, Perak 35000",Rejected,1505.27
61,Lidam anak Laja,"No. 8, Jalan Tun Ahmad Zaidi, 96000 Sibu, Sarawak, Malaysia",940221-38-7994,Sarawakian,Christianity,T19384756,30681.06,43234.52,5400672382407972,Rizal bin Hafiz,Faiz bin Azlan,,"1711 Jalan Sultan Idris Shah, Tapah, Perak 35000",Pending,1950.99
62,Ramba anak Lidam,"Lot 22, Jalan Setia Raja, Taman Supreme, 93100 Kuching, Sarawak, Malaysia",,Sarawakian,,J83726194,40079.94,44584.54,5521158081443587,Izzati binti Irfan,Rajesh Subramaniam,,"312 Jalan Lapangan Terbang, Sitiawan, Perak 32000",Approved,2495
63,Lidam anak Lidam,"No. 5, Lorong 2, Jalan Airport, 98000 Miri, Sarawak, Malaysia",,Sarawakian,Christianity,M45287019,71783.15,91736.21,5417264317402723,Yasmin binti Rizal,,,"7821 Jalan Taman Bahagia, Taiping, Perak 34000",Pending,875.78
64,Sumbang anak Bujang,"Lot 17, Jalan Kampung Datu, 96000 Sibu, Sarawak, Malaysia",,Sarawakian,,P67849012,62420.95,63707.11,5417269963293722,Irfan bin Syafiq,,,"7252 Jalan Pasir Puteh, Bagan Serai, Perak 34300",Rejected,2863.71
65,Uding anak Uding,"No. 33, Jalan Matang Jaya, 93050 Kuching, Sarawak, Malaysia",,Sarawakian,Christianity,J83726194,37705.54,54661.05,4966237946926062,Latif bin Hilmi,,,"1032 Jalan Dato Sagor, Sitiawan, Perak 32000",Rejected,2852.33
66,Hakim bin Syafiq,"Lot 88, Jalan Pujut 7, 98000 Miri, Sarawak, Malaysia",,Bidayuh,Christianity,R30958674,7667.85,15706.39,5523334241404912,Ahmad bin Azlan,,,"3789 Jalan Kampar, Ayer Tawar, Perak 32400",Pending,1792.78
67,Wani binti Aiman,"No. 19, Jalan Oya Lama, 96000 Sibu, Sarawak, Malaysia",991203-34-8898,Sarawakian,Christianity,6DPWJZQL9,19707.66,27961.19,4123454725599818,Yasmin binti Hakim,,,"1352 Lorong Aman, Parit Buntar, Perak 34200",Approved,2627.86
68,Faiz bin Azlan,"Lot 101, Jalan Tabuan Jaya, 93350 Kuching, Sarawak, Malaysia",660514-04-3196,Sarawakian,Christianity,V06B7QYSS,11041.21,23557.68,4460318464046896,Irfan bin Rizal,Sumbang anak Bujang,,"5101 Jalan Kampar, Taiping, Perak 34000",Pending,2905.92
69,Isla Montague,"12 George Street, Sydney NSW 2000",960716-35-9488,Sarawakian,Christianity,WGUYR2OI3,53666.73,59678.84,4966235001327663,Ravi Sharma,Uding anak Uding,,"7244 Jalan Merdeka, Ipoh, Perak 30000",Approved,652.5
70,Arthur Beckett,"45 Swanston Street, Melbourne VIC 3000",611111-13-4404,Sarawakian,Christianity,6OWWMUAAH,64880.41,69408.89,5417262952909788,Divya Menon,Hakim bin Syafiq,,"3830 Jalan Tambun, Kuala Kangsar, Perak 33000",Approved,2612.75
71,Florence Aldridge,"88 Adelaide Terrace, East Perth WA 6004",700503-26-3924,Sarawakian,,7JUCJV8P7,13953.54,26011.65,5521152944848330,Lakshmi Nair,Wani binti Aiman,,"3382 Jalan Kuala Kangsar, Ayer Tawar, Perak 32400",Pending,2270.62
72,Samuel Wycliffe,"7 Queen Street, Brisbane QLD 4000",940221-38-7994,Bidayuh,Christianity,TB1EL36OQ,46851.42,51777.08,5400672382407972,Lakshmi Patel,Faiz bin Azlan,,"1401 Jalan Tok Perdana, Ayer Tawar, Perak 32400",Approved,2863.71
73,Clara Ellington,"23 North Terrace, Adelaide SA 5000",501203-27-1710,Sarawakian,Christianity,ETEAK8KOI,37705.54,857.43,5521158081443587,Geetha Subramaniam,Rajesh Subramaniam,,"9833 Jalan Kuala Kangsar, Parit Buntar, Perak 34200",Rejected,2852.33
74,Benjamin Hargrove,"16 Franklin Street, Hobart TAS 7000",550428-36-1139,Sarawakian,Christianity,YU62UF1UE,7667.85,2692.58,5417264317402723,Ramba anak Sumping,Sumbang anak Bujang,,"3803 Jalan Tok Perdana, Parit Buntar, Perak 34200",Rejected,1792.78
75,Alice Fenwick,"101 Stuart Highway, Darwin NT 0800",600326-18-2992,Bidayuh,Christianity,1E0I4DY5C,19707.66,1028.75,5417269963293722,Lidam anak Laja,Uding anak Uding,,"2602 Jalan Raja Dr. Nazrin Shah, Kampar, Perak 31900",Approved,2627.86
76,Ajay Krishnan,"34 Canberra Avenue, Griffith ACT 2603",940221-38-7994,Non- Malaysian,,XSMUCM0ZJ,11041.21,796.89,4842814908501875,Ramba anak Lidam,Hakim bin Syafiq,,"9277 Jalan Lapangan Terbang, Pantai Remis, Perak 34900",Pending,2905.92
77,Sneha Subramaniam,"5 Murray Street, Perth WA 6000",940221-38-7994,Non- Malaysian,Christianity,30W7O4HD0,53666.73,2270.62,5520138861719175,Lidam anak Lidam,Wani binti Aiman,,"5713 Jalan Lahat, Kuala Kangsar, Perak 33000",Approved,652.5
